id,reporter_id,target_id,subscription_id,type,status,created_at,resolved_at,resolution,self_complaint,subscription_missing
53,365,1824,61,subscription_inactive,resolved,2021-09-04 04:20:54+00:00,2024-03-10 07:13:56+00:00,refunded,0,0
54,1041,539,375,wrong_credentials,resolved,2024-06-17 12:49:37+00:00,2024-08-07 06:07:46+00:00,account_banned,0,0
55,894,362,305,access_denied,open,2022-04-25 16:00:47+00:00,,,0,0
56,1566,57,219,access_denied,in_progress,2024-07-11 22:15:07+00:00,,,0,0
57,1354,1257,242,other,resolved,2023-07-22 01:49:36+00:00,2024-10-07 16:09:03+00:00,subscriber_replaced,0,0
58,439,1250,114,owner_unresponsive,resolved,2022-05-13 06:38:52+00:00,2023-10-11 23:20:36+00:00,,0,0
59,953,940,334,access_denied,resolved,2023-03-11 01:29:17+00:00,2025-02-27 23:52:20+00:00,subscriber_replaced,0,0
60,1133,1570,17,access_denied,escalated,2024-09-30 10:11:42+00:00,,,0,0
61,239,493,155,wrong_credentials,closed,2023-04-17 12:25:00+00:00,2024-04-28 12:41:08+00:00,,0,0
62,45,1062,63,other,open,2021-03-11 21:57:54+00:00,,,0,0
63,775,848,264,owner_unresponsive,in_progress,2024-03-18 05:24:47+00:00,,,0,0
64,167,1193,99,other,closed,2023-03-16 01:13:52+00:00,2023-09-06 21:58:07+00:00,,0,0
65,144,783,366,billing_issue,resolved,2023-01-30 17:29:33+00:00,2023-11-07 20:21:42+00:00,,0,0
66,1058,601,58,access_denied,resolved,2022-03-31 18:13:50+00:00,2024-06-09 02:29:07+00:00,account_banned,0,0
67,652,1833,47,access_denied,open,2021-11-05 07:06:53+00:00,,,0,0
68,840,1938,258,subscription_inactive,in_progress,2021-12-17 01:16:07+00:00,,,0,0
69,132,956,34,fraud_suspicion,open,2023-07-19 09:35:00+00:00,,,0,0
70,19,1583,317,access_denied,resolved,2023-07-21 00:29:48+00:00,2024-03-12 05:39:23+00:00,account_banned,0,0
71,838,1333,342,other,in_progress,2022-05-05 07:22:00+00:00,,,0,0
72,1204,1204,81,access_denied,escalated,2022-04-08 15:19:15+00:00,,,1,0
73,1702,1317,232,access_denied,in_progress,2023-09-23 10:38:11+00:00,,,0,0
74,360,906,268,billing_issue,in_progress,2022-11-18 02:39:50+00:00,,,0,0
75,1297,993,86,subscription_inactive,resolved,2024-02-28 01:50:18+00:00,2024-12-28 23:09:07+00:00,,0,0
76,439,439,114,access_denied,escalated,2021-02-11 07:01:54+00:00,,,1,0
77,1114,818,29,subscription_inactive,escalated,2024-02-19 22:02:00+00:00,,,0,0
78,1510,554,267,wrong_credentials,closed,2023-04-08 22:14:34+00:00,2024-07-26 03:09:50+00:00,owner_warned,0,0
79,1040,1791,162,subscription_inactive,open,2025-04-16 00:47:07+00:00,,,0,0
80,705,1620,388,other,open,2021-10-05 16:33:02+00:00,,,0,0
81,704,579,154,access_denied,open,2024-04-28 17:59:20+00:00,,,0,0
82,1489,1919,86,billing_issue,resolved,2022-04-23 12:53:12+00:00,2023-08-31 21:16:01+00:00,,0,0
83,456,102,25,access_denied,escalated,2022-04-01 01:20:59+00:00,,,0,0
84,1211,1823,224,wrong_credentials,resolved,2024-10-23 01:57:40+00:00,2024-11-26 11:45:32+00:00,no_action,0,0
85,442,1213,152,fraud_suspicion,escalated,2021-01-29 02:41:53+00:00,,,0,0
86,1601,1597,61,subscription_inactive,resolved,2024-05-04 10:34:57+00:00,2025-04-06 02:47:29+00:00,no_action,0,0
87,1604,1761,228,access_denied,escalated,2021-06-03 00:51:03+00:00,,,0,0
88,1573,569,311,access_denied,escalated,2023-06-21 21:06:38+00:00,,,0,0
89,1210,809,142,other,resolved,2025-02-06 05:08:34+00:00,2025-04-27 06:04:35+00:00,no_action,0,0
90,1653,882,355,access_denied,closed,2024-09-25 04:39:30+00:00,2025-05-25 00:09:13+00:00,no_action,0,0
91,853,215,30,owner_unresponsive,closed,2024-11-06 18:46:10+00:00,2025-02-08 18:10:34+00:00,no_action,0,0
92,678,486,272,wrong_credentials,escalated,2022-07-28 23:41:46+00:00,,,0,0
93,1364,1244,275,billing_issue,escalated,2024-04-15 19:25:49+00:00,,,0,0
94,411,1196,400,access_denied,open,2021-10-19 00:36:13+00:00,,,0,0
95,500,500,4,subscription_inactive,closed,2023-09-09 04:03:45+00:00,2024-05-05 02:47:49+00:00,refunded,1,0
96,1089,446,163,fraud_suspicion,resolved,2023-03-08 13:24:47+00:00,2024-12-28 16:31:52+00:00,,0,0
97,879,1060,126,wrong_credentials,resolved,2023-06-10 09:52:43+00:00,2025-04-09 15:05:16+00:00,refunded,0,0
98,49,685,400,fraud_suspicion,open,2021-11-03 20:56:42+00:00,,,0,0
99,666,1,307,owner_unresponsive,resolved,2023-01-04 23:51:46+00:00,2023-03-20 04:25:03+00:00,account_banned,0,0
100,1994,195,79,owner_unresponsive,open,2023-05-23 16:32:02+00:00,,,0,0
101,811,830,235,other,in_progress,2021-03-04 17:10:13+00:00,,,0,0
102,1194,1637,296,access_denied,in_progress,2022-04-20 22:39:01+00:00,,,0,0
103,57,55,238,access_denied,resolved,2023-11-16 02:29:27+00:00,2025-02-26 23:52:39+00:00,account_banned,0,0
104,65,1195,192,owner_unresponsive,resolved,2025-01-10 23:34:25+00:00,2025-03-09 04:40:22+00:00,,0,0
105,323,930,177,owner_unresponsive,resolved,2024-01-14 11:39:34+00:00,2024-03-19 02:02:52+00:00,subscriber_replaced,0,0
106,1856,852,256,subscription_inactive,escalated,2024-07-15 09:08:28+00:00,,,0,0
107,326,662,239,wrong_credentials,open,2023-06-29 09:20:51+00:00,,,0,0
108,1056,722,264,billing_issue,open,2022-06-14 01:41:32+00:00,,,0,0
109,728,1061,232,owner_unresponsive,resolved,2023-12-24 03:50:45+00:00,2024-09-30 10:27:14+00:00,owner_warned,0,0
110,411,723,400,other,resolved,2024-11-11 01:01:28+00:00,2025-05-23 01:20:17+00:00,subscriber_replaced,0,0
111,811,1624,235,billing_issue,open,2021-08-29 21:19:32+00:00,,,0,0
112,672,1624,216,access_denied,resolved,2021-04-29 22:29:41+00:00,2025-05-09 14:56:40+00:00,refunded,0,0
113,1272,400,50,other,escalated,2024-02-23 18:58:13+00:00,,,0,0
114,812,1742,353,access_denied,escalated,2023-09-29 15:30:08+00:00,,,0,0
115,471,1090,49,access_denied,in_progress,2022-02-25 08:23:34+00:00,,,0,0
116,741,358,17,access_denied,resolved,2023-07-24 21:26:49+00:00,2023-09-10 07:14:19+00:00,account_banned,0,0
117,1424,256,255,access_denied,closed,2024-04-18 21:32:15+00:00,2024-07-03 16:46:06+00:00,owner_warned,0,0
118,1778,314,282,access_denied,closed,2023-07-10 00:22:51+00:00,2025-02-25 08:55:25+00:00,,0,0
119,1282,584,335,other,resolved,2023-05-08 08:46:34+00:00,2024-09-24 15:12:28+00:00,no_action,0,0
120,284,183,223,owner_unresponsive,open,2021-11-24 11:04:19+00:00,,,0,0
121,1370,145,204,owner_unresponsive,open,2021-07-30 22:21:36+00:00,,,0,0
122,1112,1251,394,access_denied,closed,2024-04-26 23:19:38+00:00,2024-07-28 23:27:23+00:00,owner_warned,0,0
123,86,1232,92,fraud_suspicion,resolved,2023-11-08 11:55:03+00:00,2025-04-20 21:20:40+00:00,refunded,0,0
124,942,1800,96,other,open,2025-02-25 19:02:09+00:00,,,0,0
125,1656,329,284,other,open,2022-06-27 22:32:43+00:00,,,0,0
126,936,810,285,other,closed,2022-04-30 16:25:16+00:00,2023-03-07 11:55:05+00:00,no_action,0,0
127,1639,563,450,owner_unresponsive,in_progress,2025-01-02 20:19:20+00:00,,,0,1
128,538,813,380,wrong_credentials,resolved,2025-05-07 18:00:04+00:00,2025-05-26 07:20:36+00:00,account_banned,0,0
129,1906,13,395,owner_unresponsive,open,2024-07-05 21:39:47+00:00,,,0,0
130,1574,1551,257,owner_unresponsive,open,2024-01-23 06:27:59+00:00,,,0,0
131,1835,1183,184,other,in_progress,2021-05-20 07:32:11+00:00,,,0,0
132,1818,1198,161,access_denied,closed,2021-07-24 03:56:34+00:00,2025-05-01 22:53:19+00:00,subscriber_replaced,0,0
133,1047,1363,73,access_denied,resolved,2023-10-15 22:50:35+00:00,2024-02-25 13:23:33+00:00,refunded,0,0
134,702,702,166,fraud_suspicion,resolved,2022-10-21 22:10:50+00:00,2022-12-30 14:28:32+00:00,,1,0
135,17,1785,50,fraud_suspicion,in_progress,2022-08-07 20:17:55+00:00,,,0,0
136,1653,787,304,other,resolved,2023-08-02 00:29:21+00:00,2024-02-03 03:29:26+00:00,subscriber_replaced,0,0
137,1320,229,163,wrong_credentials,escalated,2023-12-15 20:30:06+00:00,,,0,0
138,987,606,132,billing_issue,escalated,2021-10-08 12:12:31+00:00,,,0,0
139,1399,561,236,wrong_credentials,in_progress,2024-11-02 04:30:44+00:00,,,0,0
140,433,1482,247,access_denied,resolved,2024-05-24 16:47:51+00:00,2025-03-04 05:23:20+00:00,no_action,0,0
141,1672,1726,376,access_denied,resolved,2021-06-12 03:06:18+00:00,2025-02-12 05:40:34+00:00,no_action,0,0
142,1257,207,283,access_denied,open,2024-10-11 01:10:11+00:00,,,0,0
143,992,1478,20,billing_issue,in_progress,2022-11-09 13:32:53+00:00,,,0,0
144,472,526,53,fraud_suspicion,resolved,2024-12-16 00:01:11+00:00,2025-04-10 17:37:04+00:00,no_action,0,0
145,159,605,183,other,resolved,2021-04-28 21:01:13+00:00,2021-04-14 21:01:13+00:00,refunded,0,0
146,1097,627,86,access_denied,open,2022-01-22 18:26:21+00:00,,,0,0
147,1871,432,307,wrong_credentials,open,2023-01-08 11:04:58+00:00,,,0,0
148,711,1090,286,access_denied,closed,2024-04-21 21:43:10+00:00,2024-10-18 22:04:50+00:00,,0,0
149,1376,1879,246,access_denied,resolved,2023-09-19 07:54:10+00:00,2024-09-06 00:07:52+00:00,,0,0
150,793,1502,135,fraud_suspicion,closed,2022-12-29 03:33:03+00:00,2025-03-30 01:57:09+00:00,,0,0
151,214,600,27,access_denied,resolved,2024-08-08 14:40:37+00:00,2025-01-25 10:39:45+00:00,no_action,0,0
152,1507,289,50,billing_issue,open,2025-02-28 02:54:01+00:00,,,0,0
153,1219,57,362,wrong_credentials,escalated,2022-05-22 04:08:41+00:00,,,0,0
154,1054,1377,140,access_denied,resolved,2024-01-31 23:20:40+00:00,2024-09-25 20:39:05+00:00,subscriber_replaced,0,0
155,91,588,115,fraud_suspicion,open,2021-09-05 20:05:56+00:00,,,0,0
156,1566,625,219,access_denied,closed,2022-10-22 22:01:11+00:00,2023-06-25 21:59:21+00:00,subscriber_replaced,0,0
157,1204,259,81,billing_issue,open,2023-01-24 19:06:01+00:00,,,0,0
158,1917,1835,350,fraud_suspicion,open,2023-02-16 01:30:21+00:00,,,0,0
159,1357,1331,355,access_denied,resolved,2021-04-29 04:46:41+00:00,2023-11-02 06:57:57+00:00,owner_warned,0,0
160,170,901,103,fraud_suspicion,resolved,2021-06-20 09:12:55+00:00,2022-01-29 01:38:33+00:00,,0,0
161,1544,1264,72,subscription_inactive,resolved,2023-01-31 13:55:50+00:00,2023-10-21 02:00:50+00:00,refunded,0,0
162,287,1965,219,fraud_suspicion,escalated,2021-10-31 16:46:22+00:00,,,0,0
163,1400,282,305,billing_issue,escalated,2025-02-08 20:38:09+00:00,,,0,0
164,676,260,255,owner_unresponsive,closed,2021-10-22 21:54:09+00:00,2023-05-31 15:46:03+00:00,account_banned,0,0
165,1301,1092,385,access_denied,closed,2024-09-01 17:06:29+00:00,2025-03-15 22:04:24+00:00,,0,0
166,439,439,114,access_denied,closed,2024-07-12 11:54:25+00:00,2025-05-30 23:30:17+00:00,subscriber_replaced,1,0
167,1045,1908,353,wrong_credentials,in_progress,2021-04-07 08:08:38+00:00,,,0,0
168,703,1645,61,access_denied,in_progress,2022-10-29 18:53:33+00:00,,,0,0
169,1065,1321,258,billing_issue,in_progress,2023-06-19 18:59:09+00:00,,,0,0
170,1458,212,247,access_denied,closed,2022-05-05 20:24:46+00:00,2025-01-23 12:04:08+00:00,owner_warned,0,0
171,1948,360,451,access_denied,open,2022-07-26 22:04:23+00:00,,,0,1
172,1341,1434,71,access_denied,resolved,2023-09-10 20:59:52+00:00,2025-04-08 22:31:02+00:00,owner_warned,0,0
173,1379,1367,18,wrong_credentials,resolved,2021-12-09 00:09:34+00:00,2022-09-26 13:35:12+00:00,,0,0
174,1639,463,450,subscription_inactive,closed,2021-12-07 03:36:20+00:00,2023-05-02 01:26:48+00:00,subscriber_replaced,0,1
175,75,504,210,access_denied,in_progress,2022-11-01 18:45:01+00:00,,,0,0
176,460,1249,302,other,open,2025-02-22 18:35:24+00:00,,,0,0
177,531,1397,81,fraud_suspicion,closed,2021-07-24 00:38:35+00:00,2023-10-01 14:16:11+00:00,refunded,0,0
178,529,1130,206,owner_unresponsive,escalated,2021-07-10 02:10:53+00:00,,,0,0
179,1399,1892,60,subscription_inactive,open,2025-01-20 22:36:06+00:00,,,0,0
180,1535,1930,398,access_denied,in_progress,2022-01-14 04:48:35+00:00,,,0,0
181,1112,1112,394,billing_issue,resolved,2023-04-03 02:13:42+00:00,2025-04-26 04:09:09+00:00,owner_warned,1,0
182,1040,133,162,access_denied,escalated,2024-05-11 14:49:59+00:00,,,0,0
183,793,345,382,owner_unresponsive,open,2022-07-29 11:16:24+00:00,,,0,0
184,1399,1435,60,owner_unresponsive,resolved,2024-07-19 23:22:38+00:00,2024-07-16 23:22:38+00:00,owner_warned,0,0
185,1148,563,341,access_denied,resolved,2022-06-21 06:49:08+00:00,2023-03-25 11:35:10+00:00,refunded,0,0
186,1609,860,243,subscription_inactive,in_progress,2025-04-22 19:48:10+00:00,,,0,0
187,1267,1385,315,other,escalated,2021-03-30 04:45:22+00:00,,,0,0
188,1983,455,38,billing_issue,closed,2023-02-06 05:16:15+00:00,2023-11-02 08:47:07+00:00,owner_warned,0,0
189,1315,357,74,owner_unresponsive,open,2023-05-07 01:59:25+00:00,,,0,0
190,323,379,177,access_denied,closed,2022-08-18 03:48:36+00:00,2023-10-22 19:50:44+00:00,no_action,0,0
191,1600,1064,27,access_denied,closed,2022-10-04 00:15:24+00:00,2024-07-31 00:20:16+00:00,refunded,0,0
192,1447,1786,343,subscription_inactive,resolved,2021-06-15 07:14:53+00:00,2022-11-10 19:40:15+00:00,,0,0
193,1507,893,50,access_denied,closed,2024-06-08 13:35:04+00:00,2025-05-15 10:14:07+00:00,refunded,0,0
194,796,1824,372,access_denied,closed,2022-09-08 05:19:56+00:00,2023-07-13 05:17:04+00:00,owner_warned,0,0
195,1502,1471,75,access_denied,escalated,2023-07-13 06:23:07+00:00,,,0,0
196,308,1154,384,subscription_inactive,escalated,2025-03-22 04:21:02+00:00,,,0,0
197,771,323,63,access_denied,closed,2023-11-30 17:47:10+00:00,2024-09-05 14:23:40+00:00,no_action,0,0
198,1094,989,207,wrong_credentials,open,2024-03-26 00:34:07+00:00,,,0,0
199,97,521,41,owner_unresponsive,escalated,2024-11-11 04:35:22+00:00,,,0,0
200,1985,605,341,billing_issue,escalated,2022-06-19 06:43:19+00:00,,,0,0
201,1370,789,186,subscription_inactive,resolved,2024-02-29 11:20:34+00:00,2024-08-19 23:18:06+00:00,subscriber_replaced,0,0
202,1133,639,17,wrong_credentials,resolved,2025-04-22 18:35:44+00:00,2025-05-06 19:44:35+00:00,owner_warned,0,0
203,617,871,172,access_denied,resolved,2021-09-10 13:56:54+00:00,2024-10-12 22:29:21+00:00,no_action,0,0
204,389,1568,123,access_denied,resolved,2021-04-11 20:45:54+00:00,2023-01-06 11:46:23+00:00,,0,0
205,1272,1621,178,access_denied,open,2022-12-14 00:05:57+00:00,,,0,0
206,326,107,239,other,in_progress,2024-11-18 22:22:17+00:00,,,0,0
207,987,1830,366,other,escalated,2023-12-27 12:37:08+00:00,,,0,0
208,555,601,334,wrong_credentials,open,2021-12-30 04:23:27+00:00,,,0,0
209,1119,1956,380,subscription_inactive,resolved,2021-04-03 20:43:15+00:00,2023-08-14 01:19:31+00:00,no_action,0,0
210,1818,488,161,fraud_suspicion,closed,2022-06-28 07:55:11+00:00,2024-01-30 03:30:11+00:00,refunded,0,0
211,471,1286,49,access_denied,resolved,2022-05-18 05:56:04+00:00,2023-12-10 22:47:10+00:00,no_action,0,0
212,128,63,258,subscription_inactive,closed,2022-11-29 13:30:06+00:00,2022-11-25 13:30:06+00:00,,0,0
213,1761,486,396,access_denied,open,2025-03-05 14:46:19+00:00,,,0,0
214,1145,146,369,access_denied,resolved,2021-06-23 06:59:24+00:00,2021-12-17 01:57:07+00:00,owner_warned,0,0
215,1328,190,26,billing_issue,open,2021-12-29 00:26:28+00:00,,,0,0
216,1851,538,179,wrong_credentials,escalated,2024-02-01 15:30:58+00:00,,,0,0
217,1809,1285,149,billing_issue,resolved,2022-01-27 01:26:34+00:00,2022-06-15 12:30:58+00:00,owner_warned,0,0
218,126,1478,220,access_denied,resolved,2021-09-07 21:55:59+00:00,2022-03-29 13:56:12+00:00,subscriber_replaced,0,0
219,414,1809,336,access_denied,in_progress,2021-06-05 02:20:55+00:00,,,0,0
220,49,24,400,wrong_credentials,open,2023-05-11 17:58:49+00:00,,,0,0
221,1259,463,123,wrong_credentials,closed,2022-11-07 16:17:42+00:00,2024-08-29 06:48:37+00:00,owner_warned,0,0
222,1272,236,50,other,open,2022-06-23 07:44:34+00:00,,,0,0
223,543,1587,276,subscription_inactive,resolved,2021-05-03 21:19:29+00:00,2024-04-26 04:33:30+00:00,account_banned,0,0
224,1288,1920,485,access_denied,open,2021-07-07 10:39:07+00:00,,,0,1
225,622,1492,338,billing_issue,closed,2023-06-30 09:26:29+00:00,2024-11-30 06:45:56+00:00,owner_warned,0,0
226,953,538,334,fraud_suspicion,escalated,2023-04-17 11:33:36+00:00,,,0,0
227,1882,1759,278,fraud_suspicion,escalated,2021-12-21 00:06:12+00:00,,,0,0
228,1804,1231,45,access_denied,open,2021-08-31 08:58:33+00:00,,,0,0
229,1029,1074,17,other,resolved,2024-06-21 00:55:00+00:00,2025-05-21 16:08:52+00:00,no_action,0,0
230,815,356,108,access_denied,resolved,2022-12-31 02:48:49+00:00,2024-04-09 17:43:30+00:00,refunded,0,0
231,790,1134,63,owner_unresponsive,closed,2024-08-12 02:39:21+00:00,2024-08-07 02:39:21+00:00,owner_warned,0,0
232,1803,913,250,access_denied,in_progress,2021-09-28 14:06:08+00:00,,,0,0
233,171,586,165,owner_unresponsive,resolved,2021-11-02 13:39:51+00:00,2023-01-02 18:54:05+00:00,owner_warned,0,0
234,263,733,94,access_denied,open,2023-07-02 21:57:34+00:00,,,0,0
235,1728,359,124,other,escalated,2024-12-28 04:10:16+00:00,,,0,0
236,1297,636,376,access_denied,escalated,2021-04-24 04:46:57+00:00,,,0,0
237,1579,1579,119,owner_unresponsive,in_progress,2024-01-18 02:41:30+00:00,,,1,0
238,993,914,75,wrong_credentials,closed,2023-06-15 21:16:38+00:00,2025-05-12 19:38:50+00:00,,0,0
239,383,1193,389,subscription_inactive,resolved,2024-05-13 19:42:22+00:00,2024-12-11 21:04:07+00:00,,0,0
240,478,415,350,access_denied,open,2024-11-29 05:26:49+00:00,,,0,0
241,439,157,114,subscription_inactive,escalated,2021-05-22 13:07:20+00:00,,,0,0
242,361,301,306,wrong_credentials,resolved,2024-09-05 15:02:37+00:00,2025-04-03 16:37:24+00:00,,0,0
243,793,101,382,access_denied,open,2024-08-26 06:00:06+00:00,,,0,0
244,635,1447,158,billing_issue,open,2023-10-11 12:33:49+00:00,,,0,0
245,65,45,201,other,resolved,2025-01-09 09:51:46+00:00,2025-05-21 21:30:31+00:00,,0,0
246,406,1758,174,access_denied,resolved,2024-06-05 21:46:38+00:00,2025-05-10 20:02:19+00:00,account_banned,0,0
247,977,1451,164,access_denied,open,2021-06-20 01:31:04+00:00,,,0,0
248,669,860,140,owner_unresponsive,resolved,2024-04-16 02:40:58+00:00,2024-05-27 12:24:54+00:00,refunded,0,0
249,1589,1162,132,other,resolved,2024-06-04 14:42:31+00:00,2024-11-26 15:32:24+00:00,account_banned,0,0
250,529,971,247,subscription_inactive,resolved,2022-06-09 02:24:03+00:00,2023-07-30 22:09:10+00:00,,0,0
251,1566,522,219,other,resolved,2024-10-23 20:54:09+00:00,2025-05-25 16:56:13+00:00,refunded,0,0
252,1046,1137,31,access_denied,escalated,2021-12-26 05:39:27+00:00,,,0,0
253,1041,967,375,fraud_suspicion,open,2022-08-16 05:23:48+00:00,,,0,0
254,1855,1979,462,fraud_suspicion,in_progress,2023-10-11 19:32:55+00:00,,,0,1
255,1479,1731,397,subscription_inactive,open,2022-05-27 05:30:24+00:00,,,0,0
256,801,1309,199,access_denied,open,2021-10-11 09:15:46+00:00,,,0,0
257,1917,279,280,fraud_suspicion,open,2021-07-30 06:33:22+00:00,,,0,0
258,1087,915,244,other,resolved,2025-01-26 07:18:24+00:00,2025-02-10 20:54:10+00:00,no_action,0,0
259,344,1871,355,access_denied,resolved,2021-12-11 20:33:09+00:00,2025-01-04 10:53:52+00:00,owner_warned,0,0
260,1169,1781,412,subscription_inactive,open,2022-01-07 13:39:01+00:00,,,0,1
261,1412,1384,248,access_denied,resolved,2023-04-26 10:31:30+00:00,2024-05-17 08:56:59+00:00,no_action,0,0
262,373,1078,397,access_denied,open,2023-10-16 09:42:50+00:00,,,0,0
263,324,466,361,billing_issue,in_progress,2025-01-21 10:26:14+00:00,,,0,0
264,703,44,61,access_denied,resolved,2024-09-22 07:59:42+00:00,2024-11-09 03:45:18+00:00,no_action,0,0
265,1388,847,314,subscription_inactive,closed,2023-10-30 19:25:58+00:00,2024-06-16 14:10:15+00:00,subscriber_replaced,0,0
266,49,151,217,other,in_progress,2022-03-25 15:30:05+00:00,,,0,0
267,1315,535,74,access_denied,resolved,2022-09-05 12:29:05+00:00,2025-05-09 13:36:12+00:00,,0,0
268,1329,199,22,owner_unresponsive,escalated,2024-11-20 23:03:41+00:00,,,0,0
269,1951,143,287,access_denied,in_progress,2023-02-27 06:22:13+00:00,,,0,0
270,964,606,277,other,closed,2024-10-25 21:06:16+00:00,2024-11-19 11:33:23+00:00,account_banned,0,0
271,1804,500,45,wrong_credentials,open,2021-08-15 10:51:18+00:00,,,0,0
272,1948,1948,451,billing_issue,open,2022-07-28 20:25:55+00:00,,,1,1
273,630,517,352,access_denied,escalated,2024-07-30 21:03:26+00:00,,,0,0
274,1006,265,300,other,open,2024-03-13 07:10:29+00:00,,,0,0
275,1169,921,412,owner_unresponsive,escalated,2023-09-02 11:26:34+00:00,,,0,1
276,263,1439,391,access_denied,resolved,2024-03-29 18:14:12+00:00,2025-01-24 06:13:29+00:00,refunded,0,0
